iter	Passed	Remaining
0	1	24258
1	2	21114
2	4	20700
3	5	20083
4	6	20234
5	7	19931
6	9	19721
7	10	19345
8	11	19260
9	12	18950
10	14	19084
11	15	18993
12	16	18984
13	17	18864
14	18	18920
15	20	18863
16	21	18853
17	22	18795
18	23	18843
19	25	18812
20	26	18782
21	27	18798
22	29	18969
23	30	18969
24	31	18995
25	33	19022
26	34	19054
27	35	19058
28	36	19046
29	48	24279
30	50	24145
31	51	23947
32	52	23803
33	53	23605
34	54	23468
35	56	23319
36	57	23201
37	58	23072
38	59	22951
39	60	22801
40	62	22698
41	63	22606
42	64	22577
43	66	22474
44	67	22405
45	68	22333
46	70	22312
47	71	22287
48	72	22264
49	74	22184
50	75	22166
51	76	22081
52	78	22023
53	79	22014
54	80	21963
55	82	21909
56	83	21835
57	84	21780
58	85	21697
59	87	21663
60	88	21586
61	89	21550
62	90	21515
63	92	21511
64	93	21454
65	94	21458
66	95	21382
67	97	21339
68	98	21307
69	99	21267
70	100	21216
71	102	21177
72	103	21140
73	104	21123
74	105	21085
75	107	21072
76	108	21043
77	110	21122
78	111	21100
79	113	21080
80	114	21031
81	115	21028
82	116	20988
83	118	20975
84	119	20935
85	120	20890
86	121	20842
87	122	20812
88	124	20786
89	125	20766
90	126	20724
91	127	20714
92	129	20679
93	130	20660
94	131	20624
95	132	20605
96	133	20566
97	135	20544
98	136	20503
99	137	20479
100	138	20456
101	139	20447
102	141	20405
103	142	20381
104	143	20337
105	144	20314
106	145	20282
107	147	20281
108	148	20254
109	149	20239
110	150	20211
111	151	20186
112	153	20171
113	154	20162
114	155	20149
115	156	20139
116	158	20115
117	159	20120
118	160	20091
119	161	20082
120	163	20078
121	164	20068
122	165	20055
123	167	20046
124	168	20034
125	169	20027
126	170	20011
127	172	20002
128	173	19983
129	174	19972
130	176	19979
131	177	19959
132	178	19949
133	179	19934
134	180	19921
135	182	19906
136	183	19897
137	184	19885
138	185	19874
139	187	19859
140	188	19853
141	189	19841
142	190	19826
143	192	19811
144	193	19797
145	194	19792
146	195	19787
147	197	19773
148	198	19780
149	199	19772
150	201	19772
151	202	19766
152	203	19771
153	204	19753
154	206	19761
155	207	19754
156	208	19759
157	210	19749
158	211	19751
159	212	19754
160	214	19759
161	215	19756
162	217	19755
163	218	19744
164	219	19753
165	220	19748
166	222	19749
167	223	19758
168	225	19772
169	226	19773
170	228	19795
171	229	19794
172	231	19798
173	232	19805
174	233	19811
175	235	19814
176	236	19813
177	237	19816
178	239	19811
179	240	19806
180	242	19839
181	243	19837
182	245	19844
183	246	19845
184	247	19841
185	249	19837
186	250	19841
187	251	19830
188	253	19830
189	254	19829
190	255	19830
191	257	19838
192	258	19834
193	259	19825
194	261	19824
195	262	19816
196	263	19826
197	265	19818
198	266	19816
199	267	19803
200	268	19798
201	270	19790
202	271	19793
203	272	19798
204	274	19801
205	275	19798
206	277	19798
207	278	19786
208	279	19786
209	280	19783
210	282	19781
211	283	19771
212	284	19767
213	285	19752
214	287	19757
215	288	19751
216	289	19751
217	291	19743
218	292	19744
219	293	19733
220	295	19729
221	296	19721
222	297	19718
223	298	19711
224	300	19706
225	301	19700
226	302	19700
227	304	19698
228	305	19701
229	306	19699
230	308	19702
231	309	19700
232	310	19700
233	312	19698
234	313	19695
235	314	19685
236	316	19684
237	317	19683
238	318	19688
239	320	19684
240	321	19683
241	322	19684
242	324	19688
243	325	19686
244	326	19681
245	327	19671
246	329	19670
247	330	19668
248	331	19667
249	333	19662
250	334	19666
251	335	19658
252	337	19663
253	338	19655
254	339	19651
255	341	19643
256	342	19653
257	343	19655
258	345	19676
259	347	19673
260	348	19677
261	349	19669
262	351	19675
263	352	19682
264	354	19688
265	355	19695
266	356	19698
267	358	19700
268	360	19715
269	361	19718
270	362	19727
271	364	19725
272	365	19723
273	366	19717
274	368	19718
275	369	19710
276	370	19708
277	372	19706
278	373	19712
279	375	19730
280	376	19734
281	378	19739
282	379	19736
283	380	19741
284	382	19735
285	383	19738
286	384	19732
287	386	19730
288	387	19727
289	388	19729
290	390	19724
291	391	19727
292	392	19725
293	394	19727
294	395	19720
295	396	19720
296	398	19717
297	399	19720
298	401	19719
299	402	19720
300	403	19717
301	405	19719
302	406	19720
303	408	19726
304	409	19726
305	410	19732
306	412	19735
307	413	19738
308	415	19734
309	416	19738
310	417	19735
311	419	19739
312	420	19736
313	422	19739
314	423	19738
315	424	19744
316	426	19740
317	427	19737
318	428	19733
319	430	19735
320	431	19735
321	432	19736
322	434	19737
323	435	19745
324	437	19741
325	438	19741
326	439	19736
327	441	19735
328	442	19728
329	443	19728
330	445	19725
331	446	19728
332	447	19728
333	449	19743
334	451	19744
335	452	19750
336	453	19747
337	455	19745
338	456	19738
339	457	19737
340	459	19733
341	460	19736
342	461	19734
343	463	19738
344	464	19742
345	466	19743
346	467	19743
347	469	19747
348	470	19746
349	471	19752
350	473	19746
351	474	19751
352	475	19748
353	477	19755
354	479	19763
355	480	19764
356	481	19762
357	483	19765
358	484	19761
359	485	19760
360	487	19757
361	488	19763
362	490	19761
363	491	19763
364	492	19760
365	494	19762
366	495	19759
367	497	19761
368	498	19764
369	499	19763
370	501	19760
371	502	19763
372	503	19763
373	509	19942
374	511	19942
375	512	19946
376	514	19940
377	515	19940
378	516	19939
379	518	19941
380	519	19938
381	520	19935
382	522	19929
383	523	19930
384	524	19928
385	526	19931
386	527	19926
387	529	19926
388	530	19920
389	531	19916
390	532	19912
391	534	19913
392	535	19914
393	537	19913
394	538	19909
395	539	19907
396	541	19902
397	542	19899
398	543	19892
399	554	20239
400	556	20249
401	557	20246
402	558	20245
403	560	20239
404	561	20236
405	562	20231
406	564	20229
407	565	20224
408	566	20218
409	568	20219
410	569	20220
411	570	20215
412	572	20208
